"Date","Price","Open","High","Low","Vol.","Change %"
"05/25/2022","187.83","180.28","188.87","180.17","8.52M","4.15%"
"05/24/2022","180.34","182.00","184.00","177.17","7.71M","-3.79%"
"05/23/2022","187.44","186.15","187.66","177.89","9.60M","0.58%"
"05/20/2022","186.35","185.87","190.19","179.77","10.43M","1.56%"
"05/19/2022","183.48","178.04","186.30","175.71","10.45M","3.55%"
"05/18/2022","177.19","186.72","187.70","176.27","9.67M","-7.02%"
"05/17/2022","190.56","189.17","191.40","185.17","9.88M","2.17%"
"05/16/2022","186.51","193.30","195.89","185.70","16.15M","-0.60%"
"05/13/2022","187.64","177.16","187.77","176.01","13.14M","7.65%"
"05/12/2022","174.31","163.96","177.58","162.71","17.66M","4.77%"
"05/11/2022","166.37","176.09","180.92","165.55","12.67M","-6.35%"
"05/10/2022","177.66","176.01","181.87","170.57","13.88M","2.63%"
"05/09/2022","173.10","177.65","183.20","172.30","14.03M","-4.35%"
"05/06/2022","180.97","186.75","187.21","175.81","17.19M","-3.90%"
"05/05/2022","188.32","200.45","200.71","186.00","13.97M","-7.69%"
"05/04/2022","204.01","197.65","204.38","191.01","12.22M","2.07%"
"05/03/2022","199.87","198.29","203.20","194.77","11.84M","0.21%"
"05/02/2022","199.46","191.71","200.21","190.01","14.59M","4.78%"
"04/29/2022","190.36","198.68","204.71","190.00","16.39M","-4.59%"
"04/28/2022","199.52","191.56","201.48","185.60","21.36M","5.82%"
"04/27/2022","188.54","194.01","200.19","187.77","22.30M","-4.97%"
"04/26/2022","198.40","208.80","209.15","198.28","20.32M","-5.48%"
"04/25/2022","209.91","213.81","216.66","204.51","28.15M","-2.60%"
"04/22/2022","215.52","220.18","226.27","210.05","37.52M","-1.24%"
"04/21/2022","218.22","220.00","227.68","211.52","53.50M","-3.52%"
"04/20/2022","226.19","245.20","248.70","212.51","133.39M","-35.12%"
"04/19/2022","348.61","333.22","351.68","333.22","20.91M","3.18%"
"04/18/2022","337.86","340.00","342.36","331.61","5.11M","-0.96%"
"04/14/2022","341.13","350.95","352.00","339.86","4.34M","-2.65%"
"04/13/2022","350.43","343.92","352.00","341.15","3.23M","1.84%"
"04/12/2022","344.10","355.91","359.41","342.25","3.82M","-1.12%"
"04/11/2022","348.00","350.00","354.78","345.20","3.78M","-2.21%"
"04/08/2022","355.88","361.96","362.50","354.86","4.03M","-1.73%"
"04/07/2022","362.15","365.00","368.54","353.69","4.95M","-1.68%"
"04/06/2022","368.35","374.15","376.47","362.73","4.35M","-3.10%"
"04/05/2022","380.15","389.30","390.00","377.30","4.23M","-2.90%"
"04/04/2022","391.50","373.55","396.02","373.13","7.01M","4.83%"
"04/01/2022","373.47","376.80","380.87","368.50","4.64M","-0.30%"
"03/31/2022","374.59","383.59","384.00","373.61","4.13M","-1.80%"
"03/30/2022","381.47","389.55","392.70","378.63","4.02M","-2.64%"
"03/29/2022","391.82","384.39","396.50","380.33","5.88M","3.52%"
"03/28/2022","378.51","375.23","380.28","366.73","4.32M","1.25%"
"03/25/2022","373.85","377.07","377.64","366.43","3.58M","-0.50%"
"03/24/2022","375.71","379.76","379.76","368.90","3.89M","0.33%"
"03/23/2022","374.49","379.77","382.46","374.49","3.73M","-2.20%"
"03/22/2022","382.92","371.14","386.66","366.76","4.24M","2.22%"
"03/21/2022","374.59","378.02","381.82","368.94","4.87M","-1.58%"
"03/18/2022","380.60","372.00","381.80","368.47","8.32M","2.48%"
"03/17/2022","371.40","359.70","373.31","354.88","5.82M","3.88%"
"03/16/2022","357.53","348.20","359.99","343.06","6.98M","4.01%"
"03/15/2022","343.75","335.10","345.36","332.36","5.46M","3.85%"
"03/14/2022","331.01","338.72","341.32","329.82","5.91M","-2.74%"
"03/11/2022","340.32","361.19","363.36","340.00","4.82M","-4.61%"
"03/10/2022","356.77","356.20","367.02","353.30","4.81M","-0.56%"
"03/09/2022","358.79","357.68","364.14","350.51","6.52M","4.98%"
"03/08/2022","341.76","349.80","358.86","340.67","6.43M","-2.43%"
"03/07/2022","350.26","360.41","361.99","350.20","5.71M","-3.17%"
"03/04/2022","361.73","368.00","374.82","357.17","5.33M","-1.72%"
"03/03/2022","368.07","386.00","386.12","364.65","6.08M","-3.15%"
"03/02/2022","380.03","388.93","389.22","375.21","5.36M","-1.61%"
"03/01/2022","386.24","391.60","395.00","383.70","3.29M","-2.10%"
"02/28/2022","394.52","387.33","397.75","382.13","5.04M","0.95%"
"02/25/2022","390.80","386.61","391.29","375.58","4.84M","0.20%"
"02/24/2022","390.03","355.09","390.73","354.72","7.07M","6.14%"
"02/23/2022","367.46","382.72","386.00","366.66","4.61M","-2.63%"
"02/22/2022","377.38","388.95","392.42","373.02","6.70M","-3.55%"
"02/18/2022","391.29","392.53","402.87","389.05","6.80M","1.19%"
"02/17/2022","386.67","394.23","399.11","385.70","4.67M","-2.87%"
"02/16/2022","398.08","401.53","401.56","390.38","5.28M","-2.30%"
"02/15/2022","407.46","403.79","409.16","401.01","5.40M","2.75%"
"02/14/2022","396.57","387.59","409.36","386.89","7.20M","1.34%"
"02/11/2022","391.31","405.33","411.61","387.65","7.56M","-3.68%"
"02/10/2022","406.27","402.10","408.00","396.36","8.45M","-1.60%"
"02/09/2022","412.89","408.65","412.98","398.79","7.74M","2.32%"
"02/08/2022","403.53","398.18","406.61","395.83","6.82M","0.36%"
"02/07/2022","402.10","410.17","412.35","393.55","8.23M","-1.97%"
